"";"GSM1866367";"GSM1866368";"GSM1866369";"GSM1866370";"GSM1866371";"GSM1866372";"GSM1866373";"GSM1866374";"GSM1866381";"GSM1866382";"GSM1866383";"ID";"SPOT_ID";"CONTROL_TYPE";"REFSEQ";"GB_ACC";"GENE";"GENE_SYMBOL";"GENE_NAME";"UNIGENE_ID";"ENSEMBL_ID";"TIGR_ID";"ACCESSION_STRING";"CHROMOSOMAL_LOCATION";"CYTOBAND";"DESCRIPTION";"GO_ID";"SEQUENCE";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"(+)E1A_r60_a22";13,02064;12,183514;11,902968;11,840446;11,917448;12,119493;12,196273;12,052751;11,166885;11,233725;10,758595;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0395728333333381;11,492539;0,110516120908076;0,913376542918943;0,967432416644845;-6,50636168907184
"A_19_P00315452";6,8119364;8,601433;7,758104;6,735808;8,969134;8,89114;8,787625;9,458105;10,794143;10,698456;11,092099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,16160576666666;9,5152072;-2,05434826785263;0,0566803205205313;0,202285481433172;-4,57129323838818
"A_19_P00315459";7,536501;7,3915725;7,511006;6,8657084;7,026754;6,8560724;8,0707655;7,917796;5,9002357;6,0132475;6,435063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,796345033333332;6,72199670588235;-2,4808831476136;0,0246208496581315;0,120122640809122;-3,81696153027122
"A_19_P00315482";4,7079597;3,5752232;3,9279656;2,4772456;1,6477506;1,6832012;3,8733845;1,9325516;3,8426604;3,1398556;3,3173957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,100256266666669;3,09392301764706;0,133102155380515;0,895774761976724;0,961487318457174;-6,5035041645049
"A_19_P00315492";4,3508615;4,531493;4,393921;2,9453478;3,3327491;2,84311;3,0186112;2,5408711;2,6828394;3,0242748;2,527272;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,953172583333334;3,36822015882353;1,5956819689775;0,130149234680203;0,340700777764864;-5,28664898374193
"A_19_P00315493";5,56877;5,2687755;5,9556932;6,61394;8,560271;7,800027;5,9841156;6,279309;6,9190507;6,9375463;7,549223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,496200483333337;6,74799389411765;0,71794693391089;0,48315780274409;0,76016302334684;-6,24908968633964
"A_19_P00315496";2,0028815;1,5199095;1,7536379;1,2669587;1,459529;1,5169629;1,7201577;1,7568536;2,6178932;2,963716;2,4753249;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,151859066666666;2,19571888235294;-0,456643721095341;0,654074490400678;0,904855780429981;-6,40502938709835
"A_19_P00315499";4,275798;4,4823747;4,8779554;5,460931;4,848801;3,994605;4,24089;4,351766;2,7024477;3,0756497;2,5837014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,360416183333335;3,82729897647059;0,89113936575823;0,38607928331974;0,663704421753475;-6,11004811556139
"A_19_P00315502";6,8525634;1,9720852;2,199247;1,6733098;1,8461685;1,919075;2,1278276;2,1603296;3,349889;3,5003574;4,709195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,599662883333334;3,07514717058824;0,609818304067322;0,550558271544717;0,823591810991506;-6,32166074396411
"A_19_P00315506";7,666123;8,296777;7,708435;5,5009966;5,9734225;7,5114756;6,0296555;6,3474784;7,3493576;7,341256;7,230627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,920971333333338;6,7581558;1,44066367944822;0,168991479236721;0,397893686782605;-5,49975081371824
"A_19_P00315519";2,2735524;1,6180497;1,850944;1,3386283;1,544822;1,6039932;1,7911407;1,8232417;2,6681302;3,0244944;2,5284944;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,102192933333333;2,27764404117647;-0,293485421687648;0,772929468526763;0,926087397459801;-6,46805682089554
"A_19_P00315523";4,3341775;4,5201073;5,5140624;2,4742293;3,5183759;1,7812369;1,9499073;2,4833393;2,7282104;3,0555272;2,5775023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,47374158333333;3,43502091176471;1,71191664665741;0,106252172603397;0,29936373716814;-5,11666630283879
"A_19_P00315524";13,818862;9,220008;9,129738;6,1420965;4,2543592;5,7398925;6,9090333;7,767885;5,417444;4,433523;6,2445183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,712366883333337;6,50234457058824;0,436283007187075;0,668469983909479;0,910936760850859;-6,41436105597676
"A_19_P00315529";6,5179515;4,532465;5,4127717;5,3517537;4,8117733;5,1306577;1,8881567;1,7708349;5,9422884;4,283169;3,9767804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,46339968333333;4,1689802;5,96247275344564;2,00126251056501e-05;0,00148131264941935;3,02837873691227
"A_19_P00315541";3,528738;5,44594;4,7900944;1,4666603;1,6629413;1,7225063;1,8915908;1,9153988;3,124207;3,1213653;3,3960571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,19931858333333;2,90049649411765;1,39870181098865;0,181015841177451;0,41439614437438;-5,55459619719877
"A_19_P00315543";4,635009;4,114388;4,105809;3,0536213;3,8863044;3,6062264;2,46166;2,7771559;2,617228;2,9637282;2,475621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,2808184;3,21098044117647;2,76848548923848;0,0137174978319779;0,084143016012885;-3,27398506356016
"A_19_P00315551";7,474334;7,4504857;7,63318;6,902577;7,292116;6,8171926;6,6951203;6,6249795;6,7133036;6,247591;5,3264456;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,601597650000003;6,43837537058824;1,44815378996971;0,166915698879985;0,395129172777101;-5,48983031169075
"A_19_P00315587";2,090355;1,8589056;1,8636241;2,074587;1,6675278;3,0716052;1,7900032;2,0161457;3,5700955;3,3270676;7,4804573;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,201359666666667;2,9677261;0,258596097236095;0,799249075480792;0,935265909823327;-6,47802077422892
"A_19_P00315593";4,9638953;4,8784194;5,009914;4,0877705;3,9371786;4,0520754;4,073033;4,693696;3,3206398;3,1980114;5,2936454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,104844366666669;3,94006443529412;0,205101518488528;0,840083303428629;0,94906571939331;-6,49087038742245
"A_19_P00315610";2,477634;1,9538343;2,208703;1,6820533;1,8850803;1,9563775;2,1378477;2,1513824;2,893432;3,245223;2,7309177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,117334649999999;2,60610184117647;-0,360421262424587;0,723253237992201;0,920016090749275;-6,44546036647299
"A_19_P00315625";10,100879;6,4616733;6,3872995;5,1806645;2,069895;1,6738056;4,3146534;1,8992307;3,4163811;3,112157;3,3942676;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,20542743333333;4,12006086470588;1,4160150034328;0,175972692910829;0,406911666394211;-5,53211881313577
